iter	RMSE
0	5829.622647
1	5538.274346
2	5292.430783
3	5032.22737
4	4783.392496
5	4590.453781
6	4420.707044
7	4257.385845
8	4112.060662
9	3968.728239
10	3860.889235
11	3750.624864
12	3663.75547
13	3582.33315
14	3513.617742
15	3453.580266
16	3394.439705
17	3336.339964
18	3286.904254
19	3240.297677
20	3200.451297
21	3158.02254
22	3140.354798
23	3103.228544
24	3067.977667
25	3034.383853
26	3004.288693
27	2967.094112
28	2949.488029
29	2929.175007
30	2904.119841
31	2878.84609
32	2862.665581
33	2841.107841
34	2823.147505
35	2806.641086
36	2795.709123
37	2784.771997
38	2777.081033
39	2759.902534
40	2732.890742
41	2708.163735
42	2695.718204
43	2671.235579
44	2648.059634
45	2633.698959
46	2626.940817
47	2606.866396
48	2589.57634
49	2572.878717
50	2566.164923
51	2539.152477
52	2528.745934
53	2508.307533
54	2502.160692
55	2488.086241
56	2478.211166
57	2465.008178
58	2452.66517
59	2445.892848
60	2434.073192
61	2420.558913
62	2415.534261
63	2409.406865
64	2399.214055
65	2394.112341
66	2390.881483
67	2386.535682
68	2372.195199
69	2362.972081
70	2360.102645
71	2350.418627
72	2347.241678
73	2335.771892
74	2330.454179
75	2323.599029
76	2320.523763
77	2316.103718
78	2311.720593
79	2292.64031
80	2288.531372
81	2284.392318
82	2277.056318
83	2268.071975
84	2261.670742
85	2253.932072
86	2247.117924
87	2241.469587
88	2226.720629
89	2217.659944
90	2211.859699
91	2195.988553
92	2189.788364
93	2188.072586
94	2184.334625
95	2181.339689
96	2177.185857
97	2168.478644
98	2151.467061
99	2147.668679
