iter	Passed	Remaining
0	1	182
1	4	211
2	6	221
3	9	226
4	12	228
5	14	229
6	17	227
7	19	227
8	22	224
9	24	222
10	27	220
11	29	217
12	32	215
13	34	213
14	37	211
15	39	208
16	42	205
17	44	203
18	47	200
19	49	197
20	52	195
21	54	193
22	57	191
23	59	188
24	62	186
25	64	183
26	66	181
27	69	178
28	71	176
29	74	173
30	76	171
31	79	168
32	81	166
33	84	163
34	86	160
35	88	158
36	91	155
37	93	152
38	96	150
39	98	147
40	101	145
41	103	143
42	105	140
43	108	138
44	110	135
45	113	133
46	115	130
47	118	128
48	120	125
49	123	123
50	125	120
51	128	118
52	131	116
53	134	114
54	136	111
55	139	109
56	141	106
57	144	104
58	146	101
59	149	99
60	151	96
61	153	94
62	156	91
63	158	89
64	161	86
65	163	84
66	166	81
67	168	79
68	171	76
69	173	74
70	176	72
71	178	69
72	181	67
73	183	64
74	186	62
75	189	59
76	191	57
77	193	54
78	195	51
79	197	49
80	199	46
81	202	44
82	204	41
83	206	39
84	208	36
85	210	34
86	212	31
87	215	29
88	217	26
89	219	24
90	221	21
91	224	19
92	226	17
93	228	14
94	230	12
95	232	9
96	234	7
97	236	4
98	238	2
99	241	0
